Country,Party Name,Name En.,Abbr.,Populist,Far-Right,Far-Left,Eurosceptic,In Parliament
Portugal,Bloco de Esquerda,Left Bloc,BE,,,◐,● (-2014),●
Portugal,Chega,Enough,Chega,●,●,,●,●
Portugal,Partido Comunista Português,Portuguese Communist Party,PCP,,,●,●,●
Romania,Alianța pentru Unirea Românilor,Alliance for the Union of Romanians,AUR,●,●,,●,●
Romania,Partidul Oamenilor Tineri,Party of Young People,POT,●,●,,●,●
Romania,Partidul Socialist Democrat,Social Democratic Party,PSD,● (1990-1996)<br>◐ (1996-2025),,,,●
Romania,S.O.S Romǎnia,S.O.S Romania,SOS,●,●,,●,●
Romania,Partidul Mișcarea Populară,People’s Movement Party,PMP,●,,,,
Romania,Partidul Național Conservator Român,Romanian National Conservative Party,PNCR,●,●,,●,
Romania,Partidul Poporului – Dan Diaconescu,People’s Party – Dan Diaconescu,PP-DD,●,,,,
Romania,Partidul România Mare,Greater Romania Party,PRM,●,●,,●,
Romania,Partidul România Unita,United Romania Party,PRU,,●,,●,
Romania,Partidul Socialist Democratic Român,Romanian Socialist Democratic Party,PSoDR,,,●,,
Romania,Partidul Socialist al Muncii,Socialist Party of Labour,PSM,,,●,,
Romania,Partidul Unitatii Nationale a Romanilor,Romanian National Unity Party,PUNR,●,●,,,
Romania,Patriotii Poporului Roman,Romanian People's Patriots,PPR,●,●,,●,
Slovakia,Hnutie Slovensko,Slovakia Movement,Hnutie Slovensko,●,,,,●
Slovakia,Republika,Republic,REP,◐,●,,●,●
Slovakia,Slovenská Národná Strana,Slovak National Party,SNS,●,●,,●,●
Slovakia,Smer – Slovenská Sociálna Demokracia,Direction – Slovak Social Democracy,Smer,●,,,● (2022-),●
Slovakia,Aliancia Nového Obcana,Alliance of the New Citizen,ANO,●,,,,
Slovakia,Hnutie za Demokratické Slovensko,Movement for a Democratic Slovakia,HZDS / ĽS-HZDS,●,,,●,
Slovakia,Komunistická Strana Slovenska,Communist Party of Slovakia,KSS,,,●,●,
Slovakia,Kotlebovci – Ludová Strana Naše Slovensko,Kotlebists – People’s Party Our Slovakia,L'SNS,,●,,●,
Slovakia,Pravá Slovenská Národná Strana,Real Slovak National Party,PSNS,●,●,,●,
Slovakia,Sme Rodina,We are family,SR,●,●,,●,
Slovakia,Strana Obcianskeho Porozumenia,Party of Civic Understanding,SOP,●,,,,
Slovakia,Vlasť,Homeland,Vlast,●,●,,●,
Slovakia,Združenie Robotníkov Slovenska,Union of the Workers of Slovakia,ZRS,●,,●,●,
Slovenia,Levica,Left,Levica,●,,●,● (-2022),●
Slovenia,Nova Slovenija – Krščanski Demokrati,New Slovenia – Christian Democrats,N.Si,●,●,,,●
Slovenia,Resni.ca,Truth,Resni.ca,●,,,●,●
Slovenia,Slovenska Demokratska Stranka,Slovenian Democratic Party,SDS,● (2000-),● (2015-),,,●
Slovenia,Lista Marjana Šarca,List of Marjan Sarec,LMS,● (-2018),,,,
Slovenia,Povežimo Slovenijo,Let’s Connect Slovenia,PoS,◐,,,,
Slovenia,Slovenija Je Naša,Slovenia Is Ours,SJN,●,,,,
Slovenia,Slovenska Nacionalna Stranka,Slovenian National Party,SNS,●,●,,●,
Slovenia,Socialisticna Stranka Slovenije,Socialist Party of Slovenia,SSS,,,●,,
Slovenia,Združena levica,United Left,ZL,●,,●,●,
Spain,Bloque Nacionalista Galego,Galician Nationalist Bloc,BNG,,,●,●,●
Spain,Euskal Herria Bildu,Basque Country Unite,EHB,,,●,●,●
Spain,Podemos,We Can,Podemos,● (-2019),,●,●,●
Spain,Sumar,Unite,SMR,◐,,,◐,●
Spain,Unidas Podemos,United We Can,UP,● (-2019),,●,●,●
Spain,Vox,Voice,Vox,●,●,,●,●
Spain,Candidatura d'Unitat Popular,Popular Unity Candidacy,CUP,,,●,●,
Spain,Herri Batasuna,United People,HB,,,●,●,
Spain,Izquierda Unida,United Left,IU,,,●,●,
Sweden,Sverigedemokraterna,Sweden Democrats,SD,● (2001-),●,,●,●
Sweden,Vänsterpartiet,Left Party,V,,,◐,◐,●
Sweden,Ny Demokrati,New Democracy,NyD,●,,,,
Switzerland,Eidgenössisch-Demokratische Union,Federal Democratic Union,EDU,,●,,●,●
Switzerland,Lega dei Ticinesi,Ticino League,LdT,●,●,,●,●
Switzerland,Mouvement Citoyens Genevois,Geneva Citizens' Movement,MCG,●,●,,●,●
Switzerland,Schweizerische Volkspartei,Swiss People's Party,SVP,●,●,,●,●
Switzerland,SolidaritéS,Solidarity,SOL,,,●,●,●
Switzerland,Partei der Arbeit der Schweiz,Swiss Party of Labour,PdA,,,●,●,
Switzerland,Schweizer Demokraten,Swiss Democrats,SD,●,●,,●,
United Kingdom,Democratic Unionist Party,Democratic Unionist Party,DUP,◐,,,●,●
United Kingdom,Brexit Party / Reform,Brexit Party / Reform,BRX / Reform,●,●,,●,
United Kingdom,Respect – The Unity Coalition,Respect -- The Unity Coalition,R,●,,●,●,
United Kingdom,United Kingdom Independence Party,United Kingdom Independence Party,UKIP,●,● (2002-),,●,
